,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total
103,81896,280732.6,280732.6,0.0,0,0.0,0.0
104,81936,224.0,224.0,0.0,0,0.0,0.0
105,81940,471429.0,523810.0,0.0,0,52381.0,0.0
106,81981,308448.0,308448.0,0.0,0,0.0,0.0
107,81995,384193.0,432658.89,0.0,0,43265.89,5200.0
108,82013,131090.0,145655.56,0.0,0,14565.56,0.0
109,82064,194940.0,222155.56,0.0,0,22215.56,5000.0
110,82340,84759.0,99732.22,0.0,0,9973.22,5000.0
111,82358,456490.0,456490.0,0.0,0,0.0,0.0
112,82420,213160.0,236844.44,0.0,0,23684.44,0.0
113,82427,106367.0,106367.0,0.0,0,0.0,0.0
114,82432,694.62,771.8,0.0,0,77.18,0.0
115,82458,143208.0,159120.0,0.0,0,15912.0,0.0
116,82459,169050.0,180111.11,6950.0,0,18011.11,0.0
117,82497,320735.0,375330.0,0.0,0,37533.0,17062.0
118,82527,564067.0,626741.11,0.0,0,62674.11,0.0
119,82536,385080.0,501840.0,0.0,0,75276.0,41484.0
120,82551,332.27,360.82,23.6,0,39.65,12.5
121,82561,166073.0,185638.56,0.0,0,14565.56,5000.0
122,82607,160764.0,184182.22,0.0,0,18418.22,5000.0
123,82869,164646.0,188495.56,0.0,0,18849.56,5000.0
124,83108,416362.0,468180.0,0.0,0,46818.0,5000.0
125,83144,110380.0,141076.67,0.0,0,14107.67,16589.0
126,83148,212517.0,212517.0,0.0,0,0.0,0.0
127,83174,61403.0,68983.67,0.0,0,7580.67,0.0
128,83208,283818.0,299940.44,6950.0,0,23072.44,0.0
129,83207,150520.0,172800.0,0.0,0,17280.0,5000.0
130,83211,144598.0,168066.86,0.0,0,18468.86,5000.0
131,83303,593766.0,659740.0,0.0,0,65974.0,0.0
132,83301,135784.0,158164.78,0.0,0,17380.78,5000.0
133,83318,151538.0,173931.11,0.0,0,17393.11,5000.0
134,83372,726505.0,833298.89,0.0,0,83329.89,23464.0
135,83390,459367.0,510407.8,0.0,0,51040.8,0.0
136,83420,134946.0,134946.0,0.0,0,0.0,0.0
137,83417,123468.0,142742.22,0.0,0,14274.22,5000.0
138,83434,201004.0,228893.34,0.0,0,22889.34,5000.0
139,83445,191678.0,212975.6,0.0,0,21297.6,0.0
140,83464,118609.0,118609.0,0.0,0,0.0,0.0
141,83499,143716.0,167076.0,0.0,0,18360.0,5000.0
142,83946,141120.0,141120.0,0.0,0,0.0,0.0
143,83948,196768.0,218631.11,0.0,0,21863.11,0.0
144,84028,86553.0,97238.56,0.0,0,10685.56,0.0
145,84047,278827.0,328031.77,0.0,0,49204.77,0.0
146,84068,402042.0,452268.89,0.0,0,45226.89,5000.0
147,84072,163483.0,209304.44,0.0,0,20930.44,24891.0
148,84063,330480.0,330480.0,0.0,0,0.0,0.0
149,84123,103116.0,124847.78,0.0,0,12484.78,9247.0
150,84132,111262.0,123624.44,0.0,0,12362.44,0.0
151,84143,300204.0,300204.0,0.0,0,0.0,0.0
152,84150,310.09,312.49,31.94,0,34.34,0.0
153,84293,415073.0,518400.0,0.0,0,51840.0,51487.0
154,84291,125983.0,141536.44,0.0,0,15553.44,0.0
155,84519,165600.0,165600.0,0.0,0,0.0,0.0
156,84533,699.98,792.76,0.0,0,79.28,13.5
157,84583,334293.0,376992.22,0.0,0,37699.22,5000.0
158,84586,233.32,233.32,0.0,0,0.0,0.0
159,84628,229131.0,260145.55,0.0,0,26014.55,5000.0
160,84643,292475.0,324972.22,0.0,0,32497.22,0.0
161,84702,308880.0,308880.0,0.0,0,0.0,0.0
162,84742,104102.0,165240.0,0.0,0,16524.0,44614.0
163,84749,194004.0,194004.0,0.0,0,0.0,0.0
164,84769,569.9,569.9,0.0,0,0.0,0.0
165,84781,296645.0,338885.11,0.0,0,37240.11,5000.0
166,84815,347555.0,386172.2,0.0,0,38617.2,0.0
167,85091,224132.0,254591.11,0.0,0,25459.11,5000.0
168,85104,188568.0,209520.0,0.0,0,20952.0,0.0
169,85120,278460.0,278460.0,0.0,0,0.0,0.0
170,85118,317.9125,394.48,0.0,0,43.35,33.22
171,85144,408.25,467.5,0.0,0,46.75,12.5
172,85252,209304.0,209304.0,0.0,0,0.0,0.0
173,85255,208754.0,237504.44,0.0,0,23750.44,5000.0
174,85298,158400.0,158400.0,0.0,0,0.0,0.0
175,85305,83128.0,97920.0,0.0,0,9792.0,5000.0
176,85319,127296.0,127296.0,0.0,0,0.0,0.0
177,85335,515.9,515.9,0.0,0,0.0,0.0
178,85342,254181.0,285561.33,0.0,0,31380.33,0.0
179,85353,146059.0,162287.78,0.0,0,16228.78,0.0
180,85388,285647.0,285647.0,0.0,0,0.0,0.0
181,85408,418927.0,471474.44,0.0,0,47147.44,5400.0
182,85474,201167.0,250307.78,2990.0,0,25030.78,27100.0
183,85777,138208.0,159120.0,0.0,0,15912.0,5000.0
184,85793,419.4,466.0,0.0,0,46.6,0.0
185,85856,170302.0,246655.56,0.0,0,24665.56,51688.0
186,85876,327.37,344.98,20.3,0,37.91,0.0
187,85930,365.6,410.74,0.0,0,45.14,0.0
188,85931,451.35,501.5,0.0,0,50.15,0.0
189,85942,415.2,368.0,47.2,0,0.0,0.0
190,85949,290229.0,328032.22,0.0,0,32803.22,5000.0
191,85947,366673.0,432575.56,0.0,0,43257.56,22645.0
192,85965,223567.0,248407.78,0.0,0,24840.78,0.0
193,85969,116141.0,153000.0,0.0,0,15300.0,21559.0
194,85981,53587.0,65820.0,0.0,0,7233.0,5000.0
195,85993,241301.0,273667.78,0.0,0,27366.78,5000.0
196,86041,157529.0,175032.22,0.0,0,17503.22,0.0
197,86075,152572.0,169524.44,0.0,0,16952.44,0.0
198,86089,292599.0,328722.33,0.0,0,36123.33,0.0
199,86117,13175.0,181305.55,0.0,150000,18130.55,0.0
200,86102,159622.0,179328.44,0.0,0,19706.44,0.0
201,86341,393607.0,473688.89,0.0,0,47368.89,32713.0
202,86347,219630.0,308534.89,0.0,0,33904.89,55000.0
