,id,search_log_room_id,age,baby_bed
224,1629,4154,9,0
225,1630,4157,4,0
226,1631,4157,7,0
227,1632,4157,9,0
228,1633,4158,4,0
229,1634,4158,7,0
230,1635,4158,9,0
231,1636,4160,4,0
232,1637,4160,7,0
233,1638,4160,9,0
234,1639,4161,4,0
235,1640,4161,7,0
236,1641,4161,9,0
237,1642,4167,4,0
238,1643,4167,7,0
239,1644,4167,9,0
240,1645,4174,4,0
241,1646,4175,7,0
242,1647,4175,9,0
243,1648,4194,5,0
244,1649,4194,2,0
245,1650,4196,2,1
246,1651,4200,17,0
247,1652,4204,0,1
248,1653,4204,0,0
249,1654,4205,3,0
250,1655,4205,5,0
251,1656,4206,7,0
252,1657,4209,4,0
253,1658,4209,14,0
254,1659,4209,14,0
255,1660,4209,17,0
256,1661,4210,4,0
257,1662,4210,14,0
258,1663,4210,14,0
259,1664,4220,5,0
260,1665,4220,9,0
261,1666,4221,5,0
262,1667,4221,9,0
263,1668,4224,0,0
264,1669,4228,0,1
265,1670,4238,8,0
266,1671,4238,8,0
267,1672,4239,8,0
268,1673,4240,8,0
269,1674,4241,8,0
270,1675,4242,8,0
271,1676,4243,8,0
272,1677,4244,8,0
273,1678,4245,8,0
274,1679,4246,8,0
275,1680,4254,10,0
276,1681,4257,10,0
277,1682,4260,2,0
278,1683,4267,6,0
279,1684,4275,7,0
280,1685,4275,16,0
281,1686,4276,7,0
282,1687,4276,16,0
283,1688,4277,7,0
284,1689,4277,16,0
285,1690,4279,7,0
286,1691,4279,16,0
287,1692,4280,7,0
288,1693,4280,16,0
289,1694,4284,7,0
290,1695,4284,7,0
291,1696,4287,8,0
292,1697,4287,8,0
293,1698,4289,14,0
294,1699,4289,7,0
295,1700,4291,7,0
296,1701,4291,5,0
297,1702,4292,10,0
298,1703,4292,7,0
299,1704,4293,9,0
300,1705,4293,6,0
301,1706,4293,3,0
302,1707,4294,8,0
303,1708,4295,0,0
304,1709,4296,8,0
305,1710,4297,8,0
306,1711,4299,2,0
307,1712,4300,7,0
308,1713,4300,16,0
309,1714,4301,7,0
310,1715,4301,16,0
311,1716,4313,8,0
312,1717,4313,15,0
313,1718,4314,8,0
314,1719,4314,15,0
315,1720,4316,8,0
316,1721,4316,10,0
317,1722,4318,5,0
318,1723,4320,7,0
319,1724,4320,9,0
320,1725,4322,8,0
321,1726,4322,10,0
322,1727,4325,7,0
323,1728,4325,9,0
324,1729,4326,5,0
325,1730,4337,9,0
326,1731,4338,9,0
327,1732,4341,14,0
328,1733,4341,7,0
329,1734,4343,7,0
330,1735,4343,5,0
331,1736,4344,8,0
332,1737,4344,5,0
333,1738,4345,7,0
334,1739,4345,10,0
335,1740,4346,9,0
336,1741,4347,9,0
337,1742,4350,4,0
338,1743,4350,7,0
339,1744,4351,13,0
340,1745,4351,16,0
341,1746,4352,4,0
342,1747,4352,7,0
343,1748,4353,13,0
344,1749,4353,16,0
345,1750,4354,4,0
346,1751,4354,7,0
347,1752,4355,13,0
348,1753,4355,16,0
349,1754,4356,15,0
350,1755,4356,13,0
351,1756,4356,10,0
352,1757,4357,13,0
353,1758,4358,6,0
354,1759,4359,13,0
355,1760,4362,8,0
356,1761,4362,7,0
357,1762,4363,8,0
358,1763,4363,7,0
359,1764,4365,8,0
360,1765,4365,10,0
361,1766,4365,12,0
362,1767,4376,7,0
363,1769,4514,3,0
364,1770,4515,5,0
365,1771,4515,7,0
366,1772,4516,5,0
367,1773,4516,7,0
368,1774,4517,3,0
369,1775,4519,10,0
370,1776,4524,12,0
371,1777,4524,9,0
372,1778,4589,13,0
373,1779,4591,13,0
374,1780,4592,13,0
375,1781,4593,13,0
376,1782,4595,7,0
377,1783,4595,7,0
378,1784,4595,10,0
379,1785,4596,13,0
380,1786,4597,6,0
381,1787,4597,9,0
382,1788,4597,13,0
383,1789,4597,15,0
384,1790,4598,6,0
385,1791,4599,9,0
386,1792,4599,13,0
387,1793,4609,13,0
388,1794,4610,13,0
389,1795,4612,13,0
390,1796,4613,11,0
391,1797,4614,8,0
392,1798,4622,4,0
393,1799,4623,4,0
394,1800,4626,4,0
395,1801,4627,4,0
396,1802,4628,4,0
397,1803,4629,4,0
398,1804,4631,8,0
399,1805,4631,9,0
400,1806,4633,16,0
401,1807,4635,4,0
402,1808,4636,2,1
403,1809,4636,4,0
404,1811,4640,6,0
405,1812,4640,8,0
406,1815,4642,5,0
407,1816,4642,8,0
408,1817,4644,17,0
409,1818,4644,12,0
410,1819,4648,4,0
411,1820,4648,2,0
412,1821,4654,0,0
413,1822,4655,11,0
414,1823,4660,8,0
415,1824,4660,10,0
416,1825,4663,8,0
417,1826,4663,10,0
418,1827,4665,1,0
419,1828,4666,1,0
420,1829,4673,4,0
421,1830,4673,2,0
422,1831,4674,9,0
423,1832,4674,6,0
424,1833,4680,9,0
425,1834,4680,11,0
426,1835,4681,9,0
427,1836,4681,11,0
428,1837,4682,9,0
429,1838,4682,11,0
430,1839,4686,1,0
431,1840,4687,1,0
432,1841,4688,1,0
433,1842,4689,1,0
434,1843,4690,1,0
435,1844,4691,17,0
436,1845,4693,17,0
437,1846,4696,11,0
438,1847,4696,6,0
439,1848,4702,0,1
440,1857,4709,13,0
441,1858,4709,15,0
442,1859,4710,14,0
443,1860,4710,15,0
444,1861,4711,12,0
445,1862,4711,15,0
446,1863,4712,14,0
447,1864,4714,14,0
448,1865,4716,14,0
449,1866,4725,9,0
450,1867,4725,6,0
451,1868,4728,9,0
452,1869,4728,6,0
453,1870,4728,3,0
454,1871,4729,8,0
455,1872,4729,9,0
456,1873,4730,0,0
457,1874,4734,10,0
458,1875,4734,8,0
459,1876,4735,10,0
460,1877,4735,8,0
461,1878,4739,1,1
462,1879,4740,0,1
463,1880,4833,6,0
464,1881,4833,9,0
465,1882,4835,2,0
466,1883,4835,4,0
467,1884,4836,2,0
468,1885,4836,4,0
469,1888,4838,6,0
470,1889,4838,9,0
471,1890,4847,2,1
472,1891,4848,2,1
473,1892,4853,11,0
474,1893,4854,10,0
475,1894,4854,8,0
476,1895,4854,3,0
477,1896,4856,2,0
478,1897,4856,4,0
479,1898,4857,10,0
480,1899,4857,8,0
481,1900,4857,3,0
482,1901,4865,3,0
483,1902,4865,11,0
484,1903,4866,3,0
485,1904,4866,11,0
486,1905,4867,3,0
487,1906,4867,11,0
488,1907,4868,3,0
489,1908,4869,0,0
490,1909,4870,3,0
491,1910,4871,11,0
492,1911,4872,4,0
493,1912,4872,6,0
494,1913,4872,8,0
495,1914,4873,5,0
496,1915,4875,3,0
497,1916,4875,6,0
498,1917,4878,12,0
499,1918,4882,7,0
500,1919,4884,5,0
501,1920,4885,7,0
502,1921,4885,9,0
503,1922,4892,5,0
504,1923,4892,7,0
505,1924,4892,9,0
506,1925,4902,7,0
507,1926,4903,7,0
508,1927,4905,7,0
509,1928,4912,7,0
510,1929,4936,15,0
511,1930,4936,3,0
512,1931,4937,15,0
513,1932,4937,6,0
514,1933,4939,6,0
515,1934,4950,0,0
516,1935,4954,4,0
517,1936,4954,11,0
518,1937,4955,4,0
519,1938,4955,11,0
520,1939,4958,1,1
521,1940,4959,1,1
522,1941,4961,1,1
523,1942,4962,1,1
524,1943,4963,1,0
525,1944,4964,0,1
526,1945,4968,12,0
527,1946,4969,12,0
528,1947,4970,1,0
529,1948,4971,1,0
530,1949,4973,1,0
531,1950,4974,1,0
532,1951,4977,1,0
533,1952,4981,1,0
534,1953,4983,1,0
535,1954,4984,1,0
536,1955,4986,17,0
537,1956,4986,16,0
538,1957,4986,11,0
539,1958,4986,7,0
540,1959,4999,10,0
541,1960,4999,13,0
542,1961,5000,9,0
543,1962,5000,12,0
544,1963,5000,15,0
545,1964,5001,9,0
546,1965,5001,12,0
547,1966,5002,15,0
548,1969,5019,8,0
549,1970,5030,11,0
550,1971,5032,4,0
551,1972,5032,6,0
552,1973,5034,13,0
553,1974,5035,5,0
554,1975,5036,17,0
555,1976,5036,16,0
556,1977,5037,11,0
557,1978,5038,11,0
558,1979,5039,11,0
559,1980,5040,13,0
560,1981,5041,16,0
561,1982,5041,17,0
562,1983,5042,13,0
563,1984,5044,1,0
564,1985,5044,6,0
565,1986,5045,6,0
566,1987,5045,6,0
567,1988,5046,1,0
568,1989,5048,7,0
569,1990,5051,1,0
570,1991,5051,6,0
571,1992,5052,10,0
572,1993,5052,14,0
573,1994,5053,10,0
574,1995,5053,14,0
575,1996,5054,10,0
576,1997,5054,14,0
577,1998,5056,1,1
578,1999,5057,5,0
579,2000,5057,7,0
580,2001,5058,9,0
581,2002,5059,4,0
582,2003,5065,11,0
583,2004,5067,11,0
584,2005,5068,11,0
585,2006,5069,2,0
586,2007,5069,7,0
587,2008,5070,2,0
588,2009,5070,7,0
589,2010,5071,9,0
590,2015,5079,1,1
591,2016,5081,1,0
592,2018,5199,2,0
593,2019,5200,3,0
594,2020,5200,9,0
595,2021,5268,15,0
596,2024,5271,15,0
597,2025,5280,7,0
598,2026,5280,10,0
599,2027,5280,12,0
600,2028,5280,12,0
601,2029,5280,15,0
602,2030,5281,7,0
603,2031,5281,10,0
604,2032,5281,12,0
605,2033,5281,12,0
606,2034,5281,15,0
607,2035,5282,12,0
608,2036,5282,15,0
609,2037,5284,11,0
610,2038,5285,11,0
611,2039,5285,13,0
612,2040,5288,3,0
613,2041,5291,8,0
614,2042,5299,6,0
615,2043,5299,4,0
616,2044,5300,6,0
617,2045,5300,4,0
618,2046,5301,6,0
619,2047,5301,4,0
620,2048,5302,6,0
621,2049,5302,4,0
622,2050,5303,6,0
623,2051,5303,4,0
624,2052,5304,5,0
625,2053,5304,14,0
626,2054,5305,5,0
627,2055,5306,14,0
628,2056,5307,5,0
629,2057,5307,14,0
630,2058,5310,6,0
631,2059,5310,13,0
632,2060,5330,1,1
633,2061,5330,4,0
634,2062,5337,1,0
635,2063,5339,1,0
636,2064,5340,6,0
637,2065,5340,9,0
638,2066,5340,12,0
639,2067,5344,0,1
640,2068,5368,15,0
641,2069,5371,2,0
642,2070,5373,10,0
643,2071,5373,12,0
644,2072,5373,13,0
645,2073,5373,2,0
646,2074,5374,10,0
647,2075,5374,12,0
648,2076,5375,13,0
649,2077,5375,2,0
650,2078,5376,10,0
651,2079,5376,12,0
652,2080,5377,13,0
653,2081,5377,2,0
654,2082,5378,10,0
655,2083,5378,12,0
656,2084,5379,13,0
657,2085,5379,2,0
658,2095,5390,15,0
659,2096,5390,6,0
660,2097,5392,7,0
661,2098,5392,8,0
662,2099,5393,7,0
663,2100,5393,8,0
664,2101,5394,0,1
665,2102,5395,3,0
666,2103,5395,6,0
667,2104,5396,3,0
668,2105,5396,6,0
669,2106,5397,3,0
670,2107,5397,6,0
671,2108,5401,1,1
672,2109,5401,0,1
673,2110,5402,1,1
674,2111,5404,1,0
675,2112,5405,1,0
676,2113,5409,14,0
677,2129,5416,14,0
678,2130,5416,12,0
679,2131,5417,1,1
680,2132,5418,4,0
681,2133,5418,2,0
682,2134,5419,1,1
683,2135,5421,5,0
684,2136,5421,9,0
685,2137,5422,4,0
686,2138,5422,6,0
687,2139,5422,9,0
688,2140,5425,4,0
689,2141,5425,7,0
690,2142,5428,13,0
691,2143,5429,13,0
692,2144,5430,13,0
693,2151,5438,12,0
694,2152,5439,12,0
695,2155,5451,5,0
696,2156,5451,5,0
697,2157,5457,2,0
698,2158,5464,0,1
699,2159,5467,0,1
700,2160,5472,1,1
701,2161,5472,0,1
702,2162,5491,10,0
703,2163,5492,6,0
704,2164,5492,15,0
705,2165,5493,6,0
706,2166,5493,15,0
707,2167,5495,5,0
708,2168,5495,12,0
709,2169,5502,4,0
710,2170,5502,2,0
711,2171,5503,4,0
712,2172,5503,2,0
713,2173,5504,4,0
714,2174,5504,2,0
715,2175,5505,4,0
716,2176,5505,2,0
717,2179,5508,12,0
718,2180,5511,1,1
719,2181,5513,4,0
720,2182,5513,2,0
721,2183,5523,2,0
722,2184,5532,12,0
723,2185,5534,12,0
724,2186,5534,9,0
725,2187,5534,3,0
726,2188,5535,12,0
727,2189,5535,9,0
728,2190,5535,3,0
729,2191,5544,17,0
730,2192,5550,1,1
731,2193,5551,10,0
732,2194,5569,10,0
733,2195,5573,10,0
734,2196,5575,6,0
